,VARIABLE,LEVEL,_LABEL,_TABLE,CHECKED,,
1,ACQ_BOUGHT,0,,,1,,
6,ACQ_BOUGHT,1,1,1,1,,
11,ACQ_DEVELOPER,0,,,1,,
16,ACQ_DEVELOPER,1,1,1,1,,
21,ACQ_FAMILY,0,,,1,,
26,ACQ_FAMILY,1,1,1,1,,
31,ACQ_FOREST_INDUSTRY,0,,,1,,
36,ACQ_FOREST_INDUSTRY,1,1,1,1,,
41,ACQ_GIFTED,0,,,1,,
46,ACQ_GIFTED,1,1,1,1,,
51,ACQ_GOV,0,,,1,,
56,ACQ_GOV,1,1,1,1,,
61,ACQ_INDIVIDUAL,0,,,1,,
66,ACQ_INDIVIDUAL,1,1,1,1,,
71,ACQ_INHERITED,0,,,1,,
76,ACQ_INHERITED,1,1,1,1,,
81,ACQ_LOGGER,0,,,1,,
86,ACQ_LOGGER,1,1,1,1,,
91,ACQ_SRC_OTHER,0,,,1,,
96,ACQ_SRC_OTHER,1,1,1,1,,
101,ACQ_TIMO,0,,,1,,
106,ACQ_TIMO,1,1,1,1,,
111,ACQ_TYPE_OTHER,0,,,1,,
116,ACQ_TYPE_OTHER,1,1,1,1,,
121,ACQ_YEAR,,,,1,,
123,ACRES_IN_STATE,,,,1,,
125,ACRES_IN_STATE_CAT,1,1,1,1,,
130,ACRES_IN_STATE_CAT,10,1,1,1,,
135,ACRES_IN_STATE_CAT,100,1,1,1,,
140,ACRES_IN_STATE_CAT,1000,1,1,1,,
145,ACRES_IN_STATE_CAT,20,1,1,1,,
150,ACRES_IN_STATE_CAT,200,1,1,1,,
155,ACRES_IN_STATE_CAT,50,1,1,1,,
160,ACRES_IN_STATE_CAT,500,1,1,1,,
165,ACRES_IN_STATE_CAT,5000,1,1,1,,
170,ACRES_LAND_IN_STATE,,,,1,,
172,ACRES_OUT_OF_STATE,,,,1,,
174,ACTIVITY_NONE,0,,,1,,
179,ACTIVITY_NONE,1,1,1,1,,
184,ACTIVITY_OTHER,0,,,1,,
189,ACTIVITY_OTHER,1,1,1,1,,
194,ACTIVITY_POSTING,0,,,1,,
199,ACTIVITY_POSTING,1,1,1,1,,
